,Files,Target
0,VAC1035901_1.txt,0
1,VAC1019308_1.txt,0
2,VAC1007240_1.txt,0
3,VAC0976960_1.txt,0
4,VAC1052876_1.txt,1
5,VAC0944789_1.txt,0
6,VAC1040507_1.txt,0
7,VAC0974224_1.txt,1
8,VAC0951299_1.txt,0
9,VAC1011519_1.txt,0
10,VAC1003773_1.txt,0
11,VAC1032160_1.txt,1
12,VAC0949183_1.txt,0
13,VAC0955840_1.txt,0
14,VAC1040678_1.txt,0
15,VAC1034126_1.txt,0
16,VAC0991892_1.txt,0
17,VAC1043075_1.txt,1
18,VAC0993467_1.txt,0
19,VAC1033815_2.txt,0
20,VAC0983472_1.txt,0
21,VAC0960181_1.txt,0
22,VAC0968107_1.txt,0
23,VAC0970615_1.txt,1
24,VAC0975088_1.txt,0
25,VAC0988418_1.txt,0
26,VAC0969627_1.txt,0
27,VAC1031280_1.txt,0
28,VAC0972491_1.txt,0
29,VAC0956967_2.txt,0
30,VAC0983957_1.txt,1
31,VAC1085161_1.txt,0
32,VAC1019735_1.txt,0
33,VAC1029342_1.txt,1
34,VAC0945058_1.txt,0
35,VAC1057859_1.txt,1
36,VAC1030394_1.txt,0
37,VAC1068351_1.txt,1
38,VAC0962498_1.txt,0
39,VAC1045830_1.txt,0
40,VAC1062374_1.txt,1
41,VAC1042524_2.txt,1
42,VAC1067568_1.txt,0
43,VAC1012700_1.txt,1
44,VAC0946483_1.txt,1
45,VAC1062074_1.txt,1
46,VAC0984033_1.txt,0
47,VAC1040576_1.txt,0
48,VAC0992060_1.txt,0
49,VAC1046316_1.txt,0
50,VAC0991541_1.txt,1
51,VAC0997342_2.txt,0
52,VAC0945677_1.txt,0
53,VAC0958186_1.txt,0
54,VAC0998936_1.txt,0
55,VAC1002048_1.txt,0
56,VAC0945492_1.txt,1
57,VAC0957403_1.txt,0
58,VAC0995342_1.txt,1
59,VAC1008917_1.txt,0
60,VAC0947485_1.txt,0
61,VAC0948146_1.txt,0
62,VAC0967430_2.txt,0
63,VAC1037751_2.txt,0
64,VAC0954559_1.txt,1
65,VAC0983394_1.txt,0
66,VAC0966250_1.txt,1
67,VAC1072586_1.txt,1
68,VAC1067038_1.txt,1
69,VAC0982491_1.txt,0
70,VAC1002811_1.txt,0
71,VAC0948429_1.txt,1
72,VAC0968453_1.txt,0
73,VAC1045343_1.txt,0
74,VAC1020206_2.txt,0
75,VAC1021244_1.txt,0
76,VAC1093139_2.txt,0
77,VAC1045767_1.txt,0
78,VAC1001301_2.txt,1
79,VAC1075694_1.txt,0
80,VAC0987040_1.txt,0
81,VAC0975962_1.txt,0
82,VAC1016238_1.txt,0
83,VAC0997464_1.txt,0
84,VAC0960514_1.txt,0
85,VAC0982142_1.txt,0
86,VAC0980901_1.txt,0
87,VAC1049398_1.txt,1
88,VAC1040011_1.txt,1
89,VAC1040064_1.txt,0
90,VAC1013159_1.txt,0
91,VAC0962680_1.txt,0
92,VAC1092956_1.txt,0
93,VAC0982736_1.txt,1
94,VAC0992848_1.txt,0
95,VAC1063859_1.txt,0
96,VAC1063063_1.txt,0
97,VAC0968027_1.txt,0
98,VAC0980499_1.txt,1
99,VAC0958495_1.txt,0
100,VAC1013946_1.txt,0
101,VAC1055256_1.txt,0
102,VAC1010677_1.txt,0
103,VAC0970829_1.txt,0
104,VAC1068721_1.txt,1
105,VAC0977316_1.txt,1
106,VAC1064755_1.txt,0
107,VAC0985103_1.txt,0
108,VAC1037729_1.txt,0
109,VAC0944389_1.txt,0
110,VAC0991767_1.txt,0
111,VAC1063849_1.txt,0
112,VAC1040139_2.txt,0
113,VAC0956527_1.txt,1
114,VAC1010135_1.txt,1
115,VAC0945931_1.txt,1
116,VAC1072667_1.txt,1
117,VAC0957171_1.txt,1
118,VAC0980158_1.txt,0
119,VAC1089566_1.txt,0
120,VAC0987893_1.txt,1
121,VAC1033765_1.txt,1
122,VAC0980021_1.txt,0
123,VAC0953175_1.txt,0
124,VAC1040792_1.txt,1
125,VAC0965831_1.txt,0
126,VAC0979753_1.txt,0
127,VAC0948745_1.txt,0
128,VAC1072354_1.txt,0
129,VAC0975001_1.txt,0
130,VAC0968592_1.txt,0
131,VAC1013514_1.txt,0
132,VAC1009827_1.txt,0
133,VAC0996324_1.txt,0
134,VAC1018308_1.txt,0
135,VAC0968427_1.txt,1
136,VAC1016734_1.txt,1
137,VAC0967271_1.txt,0
138,VAC0947573_1.txt,0
139,VAC0948384_1.txt,0
140,VAC1029283_1.txt,1
141,VAC0971912_1.txt,0
142,VAC0949062_1.txt,1
143,VAC1008635_1.txt,0
144,VAC0955965_1.txt,1
145,VAC1028122_1.txt,0
146,VAC1084987_2.txt,0
147,VAC0947830_1.txt,0
148,VAC1001778_1.txt,0
149,VAC1069106_1.txt,0
150,VAC1098498_1.txt,0
151,VAC0969713_1.txt,0
152,VAC1019923_1.txt,0
153,VAC1045810_1.txt,0
154,VAC1032906_1.txt,0
155,VAC1026665_1.txt,0
156,VAC0976219_1.txt,0
157,VAC0980520_1.txt,0
158,VAC0964176_1.txt,0
159,VAC0996539_1.txt,0
160,VAC1054287_1.txt,0
161,VAC1022261_1.txt,1
162,VAC0997054_1.txt,1
163,VAC1030006_1.txt,0
164,VAC0963150_1.txt,1
165,VAC1076800_1.txt,0
166,VAC0954144_1.txt,1
167,VAC0986718_1.txt,1
168,VAC1074233_1.txt,0
169,VAC0955117_1.txt,0
170,VAC0981516_3.txt,0
171,VAC0986707_1.txt,1
172,VAC0999318_1.txt,1
173,VAC1060285_1.txt,1
174,VAC0962612_1.txt,1
175,VAC1058818_1.txt,0
176,VAC1004365_1.txt,0
177,VAC0967941_1.txt,1
178,VAC0973901_1.txt,1
179,VAC1082587_1.txt,1
180,VAC0981597_1.txt,0
181,VAC0944801_1.txt,0
182,VAC1084286_1.txt,1
183,VAC0971757_1.txt,1
184,VAC1029363_1.txt,0
185,VAC0987928_1.txt,1
186,VAC1012513_1.txt,1
187,VAC1007209_1.txt,0
188,VAC0956414_1.txt,0
189,VAC0946569_1.txt,1
190,VAC0959899_1.txt,0
191,VAC1081962_1.txt,0
192,VAC1019278_1.txt,1
193,VAC0953703_1.txt,0
194,VAC0944687_1.txt,0
195,VAC0979892_1.txt,0
196,VAC0962102_2.txt,1
197,VAC1075335_1.txt,1
198,VAC1013185_1.txt,0
199,VAC1007402_1.txt,1
200,VAC0953234_1.txt,0
201,VAC0960108_1.txt,0
202,VAC0961244_1.txt,1
203,VAC0989575_1.txt,1
204,VAC1060933_1.txt,1
205,VAC1099707_1.txt,0
206,VAC0949886_1.txt,0
207,VAC0967347_1.txt,0
208,VAC1011693_1.txt,1
209,VAC1098307_1.txt,0
210,VAC1084909_1.txt,0
211,VAC0973732_1.txt,1
212,VAC1072338_1.txt,1
213,VAC0975561_1.txt,0
214,VAC1056067_1.txt,1
215,VAC1015274_1.txt,1
216,VAC0954680_1.txt,1
217,VAC0959806_1.txt,1
218,VAC1025095_1.txt,0
219,VAC1045088_1.txt,0
220,VAC0986053_1.txt,0
221,VAC1083229_1.txt,0
222,VAC0978920_1.txt,0
223,VAC1001860_1.txt,0
224,VAC0964172_1.txt,0
225,VAC0959134_1.txt,0
226,VAC1065941_1.txt,1
227,VAC1053294_2.txt,0
228,VAC1029962_1.txt,0
229,VAC1057257_1.txt,0
230,VAC0979596_1.txt,0
231,VAC1021088_1.txt,0
232,VAC0988000_1.txt,1
233,VAC0963447_1.txt,1
234,VAC0998083_1.txt,0
235,VAC0960661_1.txt,1
236,VAC1082221_1.txt,0
237,VAC1010165_1.txt,1
238,VAC0995518_1.txt,0
239,VAC0947491_1.txt,0
240,VAC1045481_1.txt,1
241,VAC1017648_1.txt,0
242,VAC0991654_1.txt,1
243,VAC0984475_1.txt,0
244,VAC1065736_1.txt,0
245,VAC1069670_1.txt,0
246,VAC0947870_1.txt,0
247,VAC1008561_1.txt,1
248,VAC0945520_2.txt,1
