File,Date
VAC0002039_1.txt,2015-10-16
VAC0003338_1.txt,2013-11-12
VAC0003503_1.txt,2009-10-22
VAC0007571_1.txt,2015-10-21
VAC0007769_1.txt,2015-6-24
VAC0010180_1.txt,2013-3-21
VAC0010189_1.txt,2016-2-11
VAC0010291_1.txt,2014-3-6
VAC0010444_1.txt,2017-2-6
VAC0010739_1.txt,2014-10-9
VAC0017115_1.txt,2016-5-16
VAC0017333_1.txt,2016-2-17
VAC0017723_1.txt,2016-1-28
VAC0017803_1.txt,2016-2-2
VAC0017936_1.txt,2016-3-2
VAC0018159_1.txt,2015-11-30
VAC0025178_1.txt,2015-6-18
VAC0026366_1.txt,2016-4-22
VAC0026715_2.txt,2015-5-21
VAC0027650_1.txt,2016-2-5
VAC0028136_1.txt,2015-1-30
VAC0028200_1.txt,2015-4-24
VAC0030215_1.txt,2015-3-24
VAC0030379_1.txt,2016-10-24
VAC0030664_1.txt,2016-1-22
VAC0031755_1.txt,2015-10-6
VAC0033035_1.txt,2015-4-23
VAC0034567_1.txt,2015-11-6
VAC0036591_1.txt,2015-9-29
VAC0036737_1.txt,2016-9-5
VAC0037718_1.txt,2015-2-24
VAC0037924_1.txt,2016-3-30
VAC0038105_1.txt,2015-3-19
VAC0038164_1.txt,2017-5-23
VAC0043413_1.txt,2016-1-7
VAC0048606_1.txt,2014-10-8
VAC0052793_1.txt,2016-2-1
VAC0052951_1.txt,2015-9-18
VAC0055604_1.txt,2015-2-23
VAC0055645_1.txt,2015-12-2
VAC0055949_1.txt,2015-9-14
VAC0056660_1.txt,2012-5-30
VAC0056965_1.txt,2008-8-1
VAC0057560_1.txt,2014-12-18
VAC0058183_1.txt,2015-1-13
VAC0058667_1.txt,2016-9-27
VAC0060510_1.txt,2017-7-20
VAC0060966_1.txt,2016-7-19
VAC0062154_1.txt,2016-9-8
VAC0062352_1.txt,2015-11-19
VAC0062597_1.txt,2015-7-20
VAC0064232_1.txt,2015-7-8
VAC0064493_1.txt,2014-5-8
VAC0065618_1.txt,2016-6-20
VAC0066889_1.txt,2016-12-7
VAC0067224_1.txt,2015-11-27
VAC0068796_1.txt,2013-5-27
VAC0069559_1.txt,2009-9-2
VAC0069606_1.txt,2015-11-16
VAC0071366_1.txt,2015-12-10
VAC0072528_1.txt,2015-6-9
VAC0073107_1.txt,2015-1-21
VAC0074376_1.txt,2015-1-8
VAC0074376_3.txt,2015-1-8
VAC0074569_1.txt,2016-6-15
VAC0074598_1.txt,2016-10-4
VAC0079197_1.txt,2015-2-23
